Country,Type,Value,ISO-code
Democratic Republic of the Congo,GDP_per_capita,8730,COD
Denmark,GDP_per_capita,556750,DNK
Djibouti,GDP_per_capita,58550,DJI
Dominican Republic,GDP_per_capita,206250,DOM
East Timor,GDP_per_capita,53210,TLS
Ecuador,GDP_per_capita,118660,ECU
Egypt,GDP_per_capita,148000,EGY
El Salvador,GDP_per_capita,85930,SLV
Equatorial Guinea,GDP_per_capita,199610,GNQ
Eritrea,GDP_per_capita,11030,ERI
Estonia,GDP_per_capita,376060,EST
Eswatini,GDP_per_capita,111390,SWZ
Ethiopia,GDP_per_capita,27020,ETH
Fiji,GDP_per_capita,126890,FJI
Finland,GDP_per_capita,495480,FIN
France,GDP_per_capita,486400,FRA
Gabon,GDP_per_capita,198390,GAB
Georgia,GDP_per_capita,132000,GEO
Germany,GDP_per_capita,553060,DEU
Ghana,GDP_per_capita,73430,GHA
Greece,GDP_per_capita,316160,GRC
Greenland,GDP_per_capita,481820,GRL
Grenada,GDP_per_capita,174340,GRD
Guatemala,GDP_per_capita,90090,GTM
Guinea,GDP_per_capita,21130,GIN
Guyana,GDP_per_capita,171630,GUY
Haiti,GDP_per_capita,19160,HTI
Honduras,GDP_per_capita,56000,HND
Hong Kong,GDP_per_capita,665270,HKG
Hungary,GDP_per_capita,359410,HUN
Iceland,GDP_per_capita,569740,ISL
India,GDP_per_capita,90270,IND
Indonesia,GDP_per_capita,148410,IDN
Iran,GDP_per_capita,178320,IRN
Iraq,GDP_per_capita,187550,IRQ
Ireland,GDP_per_capita,869880,IRL
Israel,GDP_per_capita,403370,ISR
Italy,GDP_per_capita,415820,ITA
Ivory Coast,GDP_per_capita,47540,CIV
Jamaica,GDP_per_capita,99320,JAM
Japan,GDP_per_capita,468270,JPN
Jordan,GDP_per_capita,99390,JOR
Kazakhstan,GDP_per_capita,301780,KAZ
Kenya,GDP_per_capita,40780,KEN
Kiribati,GDP_per_capita,21930,KIR
Kuwait,GDP_per_capita,678910,KWT
Kyrgyzstan,GDP_per_capita,41930,KGZ
Laos,GDP_per_capita,86840,LAO
Latvia,GDP_per_capita,329870,LVA
Lebanon,GDP_per_capita,155990,LBN
Lesotho,GDP_per_capita,36550,LSO
Liberia,GDP_per_capita,14280,LBR
Libya,GDP_per_capita,94460,LBY
Liechtenstein,GDP_per_capita,,LIE
Lithuania,GDP_per_capita,387510,LTU
Luxembourg,GDP_per_capita,1120450,LUX
Madagascar,GDP_per_capita,17760,MDG
Malawi,GDP_per_capita,12920,MWI
Malaysia,GDP_per_capita,345670,MYS
Mali,GDP_per_capita,25690,MLI
Malta,GDP_per_capita,495890,MLT
Marshall Islands,GDP_per_capita,39720,MHL
Mauritania,GDP_per_capita,51580,MRT
Mauritius,GDP_per_capita,264610,MUS
Mexico,GDP_per_capita,213630,MEX
Micronesia,GDP_per_capita,36570,FSM
Moldova,GDP_per_capita,81610,MDA
Mongolia,GDP_per_capita,150890,MNG
Montenegro,GDP_per_capita,219770,MNE
Morocco,GDP_per_capita,96670,MAR
Mozambique,GDP_per_capita,13720,MOZ
Myanmar,GDP_per_capita,72200,MMR
Namibia,GDP_per_capita,114510,NAM
Nepal,GDP_per_capita,35500,NPL
Netherlands,GDP_per_capita,602990,NLD
New Zealand,GDP_per_capita,420450,NZL
Nicaragua,GDP_per_capita,52970,NIC
Niger,GDP_per_capita,11520,NER
Nigeria,GDP_per_capita,61720,NGA
North Macedonia,GDP_per_capita,173780,MKD
Norway,GDP_per_capita,796380,NOR
Oman,GDP_per_capita,485930,OMN
Pakistan,GDP_per_capita,60160,PAK
Palau,GDP_per_capita,168550,PLW
Palestine,GDP_per_capita,,PSE
Panama,GDP_per_capita,284560,PAN
Papua New Guinea,GDP_per_capita,40810,PNG
Paraguay,GDP_per_capita,132130,PRY
