Country,Type,Value,ISO-code
Netherlands,Population growth,0.45,NLD
New Zealand,Population growth,0.63,NZL
Nicaragua,Population growth,1.46,NIC
Niger,Population growth,3.84,NER
Nigeria,Population growth,2.79,NGA
North Macedonia,Population growth,0.08,MKD
Norway,Population growth,1.32,NOR
Oman,Population growth,9.13,OMN
Pakistan,Population growth,2.69,PAK
Palau,Population growth,0.72,PLW
Palestine,Population growth,3.01,PSE
Panama,Population growth,1.64,PAN
Papua New Guinea,Population growth,2.17,PNG
Paraguay,Population growth,1.72,PRY
Peru,Population growth,1.25,PER
Philippines,Population growth,1.72,PHL
Poland,Population growth,0.02,POL
Portugal,Population growth,-0.29,PRT
Republic of the Congo,Population growth,2.61,COG
Romania,Population growth,-0.27,ROU
Russia,Population growth,0.4,RUS
Rwanda,Population growth,2.77,RWA
Saint Kitts and Nevis,Population growth,1.15,KNA
Saint Lucia,Population growth,0.89,LCA
Saint Vincent and the Grenadines,Population growth,0.01,VCT
Samoa,Population growth,0.78,WSM
Sao Tome and Principe,Population growth,,STP
Saudi Arabia,Population growth,1.88,SAU
Senegal,Population growth,2.92,SEN
Serbia,Population growth,-0.48,SRB
Seychelles,Population growth,0.39,SYC
Sierra Leone,Population growth,1.91,SLE
Singapore,Population growth,2.45,SGP
Slovakia,Population growth,0.22,SVK
Slovenia,Population growth,0.26,SVN
Solomon Islands,Population growth,2.13,SLB
Somalia,Population growth,2.86,SOM
South Africa,Population growth,1.18,ZAF
South Sudan,Population growth,4.3,SSD
Spain,Population growth,0.09,ESP
Sri Lanka,Population growth,1.04,LKA
Sudan,Population growth,2.08,SDN
Suriname,Population growth,0.9,SUR
Sweden,Population growth,0.71,SWE
Syria,Population growth,1.97,SYR
Tajikistan,Population growth,2.45,TJK
Tanzania,Population growth,3.04,TZA
Thailand,Population growth,0.31,THA
The Bahamas,Population growth,1.52,BHS
The Gambia,Population growth,3.19,GMB
Togo,Population growth,2.6,TGO
Tonga,Population growth,0.37,TON
